hospital_name,district,city,speciality,hospital_rating,success_rate,service_readiness_pct,ranking_score,speciality_rank,overall_rank,no_of_patients_treated
Apex Medical Centre - Bathinda,Bathinda,Khanna,General Surgery,4.9,81.3,43.75,92.99,1,1,10000
Lifeline Medical Centre - Tarn Taran,Tarn Taran,Bathinda,Cardiology,4.9,80.9,43.75,92.87,1,2,10137
Sewa Healthcare - Ferozepur,Ferozepur,Jalandhar,Oncology,4.9,80.7,37.5,92.81,1,3,10274
Maharaja Ranjit Singh Healthcare - Gurdaspur,Gurdaspur,Mansa,ENT,4.9,79.5,37.5,92.45,1,4,10411
Healing Touch Multispeciality Hospital - Amritsar,Amritsar,Rajpura,Urology,4.9,79.4,43.75,92.42,1,5,10548
Healing Touch Multispeciality Hospital - Fazilka,Fazilka,Gurdaspur,Neurology,4.9,79.3,43.75,92.39,1,6,10685
Lifeline Hospital - Rupnagar,Rupnagar,Nawanshahr,Gastroenterology,4.9,79.0,43.75,92.3,1,7,10822
City Care Hospital - Moga,Moga,Amritsar,Nephrology,4.9,79.0,37.5,92.3,1,8,10959
Shivalik Hospital - Nawanshahr,Nawanshahr,Patiala,General Surgery,4.9,78.8,43.75,92.24,2,9,11096
Prime Care Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Barnala,Dermatology,4.9,78.7,37.5,92.21,1,10,11233
Medicare Multispeciality Hospital - Amritsar,Amritsar,Moga,ENT,4.9,78.6,43.75,92.18,2,11,11370
City Care Medical Centre - Sangrur,Sangrur,Firozpur,Neurology,4.9,78.5,43.75,92.15,2,12,11507
Shivalik Medical Centre - Amritsar,Amritsar,Rupnagar,Cardiology,4.9,78.4,37.5,92.12,2,13,11644
Sunrise Medical Centre - Kapurthala,Kapurthala,Mansa,Gastroenterology,4.9,78.4,31.25,92.12,2,14,11781
Healing Touch Healthcare - Ferozepur,Ferozepur,Firozpur,Urology,4.9,78.4,31.25,92.12,2,15,11918
Guru Nanak Medical Centre - Barnala,Barnala,Khanna,ENT,4.9,78.3,43.75,92.09,3,16,12055
Shivalik Healthcare - Fatehgarh Sahib,Fatehgarh Sahib,Jalandhar,Orthopedics,4.9,78.3,37.5,92.09,1,17,12192
Shivalik Medical Centre - Mansa,Mansa,Bathinda,General Medicine,4.9,78.1,37.5,92.03,1,18,12329
Guru Nanak Medical Centre - Ludhiana,Ludhiana,Kapurthala,Ophthalmology,4.9,78.0,43.75,92.0,1,19,12466
Sunrise Multispeciality Hospital - Pathankot,Pathankot,Phagwara,Pulmonology,4.9,77.9,43.75,91.97,1,20,12603
Guru Nanak Medical Centre - Gurdaspur,Gurdaspur,Hoshiarpur,Dermatology,4.9,77.7,37.5,91.91,2,21,12740
Sewa Healthcare - Tarn Taran,Tarn Taran,Mansa,Pediatrics,4.9,77.7,37.5,91.91,1,22,12877
Punjab Healthcare - Ferozepur,Ferozepur,Sangrur,General Surgery,4.9,77.6,37.5,91.88,3,23,13014
Mata Kaushalya Hospital - Muktsar,Muktsar,Pathankot,Pediatrics,4.9,77.6,31.25,91.88,2,24,13151
Maharaja Ranjit Singh Multispeciality Hospital - Tarn Taran,Tarn Taran,Mohali,Orthopedics,4.9,77.5,43.75,91.85,2,25,13288
Maharaja Ranjit Singh Multispeciality Hospital - Ferozepur,Ferozepur,Abohar,Oncology,4.9,77.4,37.5,91.82,2,26,13425
Lifeline Healthcare - SAS Nagar,SAS Nagar,Firozpur,Pediatrics,4.9,77.4,31.25,91.82,3,27,13562
Guru Nanak Multispeciality Hospital - Ludhiana,Ludhiana,Abohar,Dermatology,4.9,77.3,43.75,91.79,3,28,13699
Sunrise Medical Centre - Ludhiana,Ludhiana,Bathinda,General Medicine,4.9,77.3,50.0,91.79,2,29,13836
Mata Kaushalya Hospital - Faridkot,Faridkot,Barnala,Orthopedics,4.9,77.3,37.5,91.79,3,30,13973
Fortune Hospital - Bathinda,Bathinda,Moga,ENT,4.9,77.2,37.5,91.76,4,31,14110
Fortune Multispeciality Hospital - Barnala,Barnala,Rajpura,Oncology,4.9,77.2,31.25,91.76,3,32,14247
Maharaja Ranjit Singh Medical Centre - Sangrur,Sangrur,Patiala,Cardiology,4.9,77.1,37.5,91.73,3,33,14384
City Care Healthcare - Muktsar,Muktsar,Kapurthala,Pulmonology,4.9,77.1,37.5,91.73,2,34,14521
Guru Nanak Healthcare - Moga,Moga,Patiala,Cardiology,4.9,77.0,37.5,91.7,4,35,14658
Guru Nanak Healthcare - SAS Nagar,SAS Nagar,Abohar,Dermatology,4.9,77.0,37.5,91.7,4,36,14795
Shivalik Hospital - Hoshiarpur,Hoshiarpur,Malerkotla,ENT,4.9,77.0,37.5,91.7,5,37,14932
City Care Hospital - Malerkotla,Malerkotla,Pathankot,General Medicine,4.9,77.0,37.5,91.7,3,38,15069
Apex Medical Centre - Gurdaspur,Gurdaspur,Malerkotla,Pediatrics,4.9,77.0,43.75,91.7,4,39,15206
Healing Touch Multispeciality Hospital - Gurdaspur,Gurdaspur,Malerkotla,Pediatrics,4.8,81.6,50.0,91.68,11,40,15343
Fortune Healthcare - Jalandhar,Jalandhar,Nawanshahr,Dermatology,4.9,76.9,37.5,91.67,5,41,15480
Shivalik Healthcare - Pathankot,Pathankot,Hoshiarpur,General Medicine,4.9,76.9,37.5,91.67,4,42,15617
Fortune Hospital - Mansa,Mansa,Patiala,Nephrology,4.9,76.9,31.25,91.67,2,43,15754
City Care Multispeciality Hospital - Moga,Moga,Phagwara,Cardiology,4.9,76.8,37.5,91.64,5,44,15891
Mata Kaushalya Hospital - Hoshiarpur,Hoshiarpur,Moga,General Surgery,4.9,76.8,37.5,91.64,4,45,16028
Maharaja Ranjit Singh Hospital - Rupnagar,Rupnagar,Mohali,Ophthalmology,4.9,76.8,37.5,91.64,2,46,16165
City Care Multispeciality Hospital - Tarn Taran,Tarn Taran,Abohar,Pediatrics,4.9,76.8,37.5,91.64,5,47,16302
Fortune Medical Centre - Gurdaspur,Gurdaspur,Sangrur,Cardiology,4.9,76.7,31.25,91.61,6,48,16439
Healing Touch Healthcare - Mansa,Mansa,Jalandhar,Cardiology,4.9,76.7,31.25,91.61,7,49,16576
Apex Hospital - Gurdaspur,Gurdaspur,Mansa,Orthopedics,4.9,76.6,31.25,91.58,4,50,16713
Punjab Multispeciality Hospital - Sangrur,Sangrur,Nawanshahr,General Medicine,4.9,76.5,31.25,91.55,5,51,16850
Prime Care Medical Centre - Muktsar,Muktsar,Kapurthala,Orthopedics,4.9,76.5,43.75,91.55,5,52,16987
Medicare Healthcare - Kapurthala,Kapurthala,Pathankot,Pulmonology,4.9,76.5,37.5,91.55,3,53,17124
Lifeline Hospital - Rupnagar,Rupnagar,Firozpur,Gastroenterology,4.8,81.1,37.5,91.53,22,54,17261
Sewa Multispeciality Hospital - Fazilka,Fazilka,Bathinda,Cardiology,4.9,76.4,37.5,91.52,8,55,17398
Prime Care Multispeciality Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Pathankot,ENT,4.9,76.4,31.25,91.52,6,56,17535
Lifeline Multispeciality Hospital - Tarn Taran,Tarn Taran,Amritsar,Gastroenterology,4.9,76.4,37.5,91.52,3,57,17672
Mata Kaushalya Multispeciality Hospital - Hoshiarpur,Hoshiarpur,Sangrur,Gastroenterology,4.9,76.4,37.5,91.52,4,58,17809
City Care Multispeciality Hospital - Gurdaspur,Gurdaspur,Patiala,Gynecology,4.9,76.4,43.75,91.52,1,59,17946
Healing Touch Healthcare - Rupnagar,Rupnagar,Rajpura,Orthopedics,4.9,76.4,37.5,91.52,6,60,18083
Healing Touch Healthcare - Tarn Taran,Tarn Taran,Mohali,Cardiology,4.9,76.3,37.5,91.49,10,61,18220
Mata Kaushalya Multispeciality Hospital - Jalandhar,Jalandhar,Moga,Cardiology,4.9,76.3,31.25,91.49,9,62,18357
Shivalik Healthcare - Gurdaspur,Gurdaspur,Khanna,Dermatology,4.9,76.3,31.25,91.49,6,63,18494
Medicare Medical Centre - Hoshiarpur,Hoshiarpur,Ludhiana,Oncology,4.9,76.3,31.25,91.49,4,64,18631
Sewa Medical Centre - Tarn Taran,Tarn Taran,Patiala,Oncology,4.9,76.3,37.5,91.49,5,65,18768
Guru Nanak Healthcare - Pathankot,Pathankot,Firozpur,Oncology,4.9,76.2,43.75,91.46,7,66,18905
Lifeline Hospital - Gurdaspur,Gurdaspur,Khanna,Oncology,4.9,76.2,31.25,91.46,6,67,19042
Medicare Healthcare - Moga,Moga,Nawanshahr,ENT,4.9,76.1,31.25,91.43,7,68,19179
City Care Hospital - Mansa,Mansa,Kapurthala,Ophthalmology,4.9,76.1,37.5,91.43,3,69,19316
Apex Healthcare - Bathinda,Bathinda,Malerkotla,Pediatrics,4.9,76.1,37.5,91.43,6,70,19453
Sewa Healthcare - Jalandhar,Jalandhar,Firozpur,Urology,4.9,76.1,37.5,91.43,3,71,19590
City Care Multispeciality Hospital - SAS Nagar,SAS Nagar,Amritsar,ENT,4.9,76.0,37.5,91.4,8,72,19727
Lifeline Multispeciality Hospital - Muktsar,Muktsar,Barnala,General Medicine,4.9,76.0,31.25,91.4,6,73,19864
Shivalik Medical Centre - Tarn Taran,Tarn Taran,Phagwara,Gynecology,4.9,76.0,25.0,91.4,2,74,20001
Sewa Multispeciality Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Mansa,Nephrology,4.9,76.0,37.5,91.4,3,75,20138
Sewa Healthcare - Ludhiana,Ludhiana,Patiala,Urology,4.9,76.0,31.25,91.4,4,76,20275
Maharaja Ranjit Singh Medical Centre - Amritsar,Amritsar,Amritsar,ENT,4.9,75.9,37.5,91.37,9,77,20412
Fortune Hospital - Faridkot,Faridkot,Muktsar,Gastroenterology,4.9,75.9,25.0,91.37,5,78,20549
Lifeline Medical Centre - Muktsar,Muktsar,Rajpura,General Surgery,4.9,75.9,37.5,91.37,5,79,20686
Sunrise Healthcare - Barnala,Barnala,Sangrur,Nephrology,4.9,75.9,18.75,91.37,4,80,20823
Mata Kaushalya Medical Centre - Moga,Moga,Moga,Neurology,4.9,75.9,37.5,91.37,4,81,20960
Shivalik Hospital - Muktsar,Muktsar,Nawanshahr,Neurology,4.9,75.9,37.5,91.37,3,82,21097
Healing Touch Hospital - Hoshiarpur,Hoshiarpur,Hoshiarpur,Urology,4.9,75.9,31.25,91.37,5,83,21234
Fortune Medical Centre - Patiala,Patiala,Jalandhar,Cardiology,4.9,75.8,43.75,91.34,12,84,21371
Maharaja Ranjit Singh Hospital - Moga,Moga,Mansa,Cardiology,4.9,75.8,31.25,91.34,11,85,21508
Prime Care Multispeciality Hospital - Patiala,Patiala,Phagwara,Pediatrics,4.9,75.8,25.0,91.34,7,86,21645
Mata Kaushalya Medical Centre - Nawanshahr,Nawanshahr,Jalandhar,Pulmonology,4.9,75.8,43.75,91.34,4,87,21782
Lifeline Medical Centre - Faridkot,Faridkot,Muktsar,Orthopedics,4.8,80.3,43.75,91.29,17,88,21919
Apex Medical Centre - Faridkot,Faridkot,Mansa,Pulmonology,4.8,80.2,43.75,91.26,14,89,22056
Lifeline Healthcare - Ferozepur,Ferozepur,Muktsar,Gastroenterology,4.9,75.5,31.25,91.25,6,90,22193
Lifeline Medical Centre - Gurdaspur,Gurdaspur,Rupnagar,General Surgery,4.9,75.5,31.25,91.25,6,91,22330
Lifeline Hospital - Rupnagar,Rupnagar,Amritsar,Orthopedics,4.9,75.5,37.5,91.25,7,92,22467
Shivalik Hospital - Tarn Taran,Tarn Taran,Pathankot,Urology,4.9,75.5,37.5,91.25,6,93,22604
Mata Kaushalya Healthcare - Pathankot,Pathankot,Pathankot,Dermatology,4.8,80.1,43.75,91.23,18,94,22741
Mata Kaushalya Medical Centre - Pathankot,Pathankot,Rajpura,Nephrology,4.8,80.1,43.75,91.23,16,95,22878
Shaheed Bhagat Singh Healthcare - Fatehgarh Sahib,Fatehgarh Sahib,Amritsar,General Medicine,4.9,75.4,31.25,91.22,7,96,23015
Sunrise Multispeciality Hospital - Tarn Taran,Tarn Taran,Barnala,Neurology,4.9,75.4,25.0,91.22,5,97,23152
Healing Touch Healthcare - Patiala,Patiala,Phagwara,ENT,4.8,80.0,50.0,91.2,16,98,23289
Lifeline Multispeciality Hospital - Amritsar,Amritsar,Firozpur,Dermatology,4.9,75.3,31.25,91.19,7,99,23426
Maharaja Ranjit Singh Healthcare - Kapurthala,Kapurthala,Khanna,General Medicine,4.9,75.3,37.5,91.19,8,100,23563
Fortune Medical Centre - Fatehgarh Sahib,Fatehgarh Sahib,Pathankot,Orthopedics,4.9,75.3,43.75,91.19,8,101,23700
Punjab Medical Centre - Sangrur,Sangrur,Hoshiarpur,Orthopedics,4.9,75.3,31.25,91.19,9,102,23837
Shaheed Bhagat Singh Healthcare - Sangrur,Sangrur,Rupnagar,Urology,4.9,75.3,37.5,91.19,7,103,23974
Sunrise Multispeciality Hospital - Ludhiana,Ludhiana,Muktsar,ENT,4.9,75.2,31.25,91.16,10,104,24111
Shaheed Bhagat Singh Healthcare - Ferozepur,Ferozepur,Khanna,Oncology,4.9,75.2,37.5,91.16,8,105,24248
Healing Touch Medical Centre - Faridkot,Faridkot,Mohali,Oncology,4.8,79.8,43.75,91.14,21,106,24385
Healing Touch Healthcare - Nawanshahr,Nawanshahr,Amritsar,Cardiology,4.9,75.1,43.75,91.13,13,107,24522
City Care Multispeciality Hospital - Barnala,Barnala,Firozpur,Dermatology,4.9,75.1,31.25,91.13,8,108,24659
Apex Medical Centre - Ludhiana,Ludhiana,Malerkotla,General Medicine,4.8,79.7,37.5,91.11,15,109,24796
Guru Nanak Hospital - Mansa,Mansa,Moga,Gastroenterology,4.9,75.0,37.5,91.1,7,110,24933
Guru Nanak Hospital - Gurdaspur,Gurdaspur,Phagwara,Pulmonology,4.9,75.0,37.5,91.1,5,111,25070
Maharaja Ranjit Singh Multispeciality Hospital - Faridkot,Faridkot,Patiala,Oncology,4.9,74.9,37.5,91.07,9,112,25207
Maharaja Ranjit Singh Healthcare - Fazilka,Fazilka,Jalandhar,General Surgery,4.9,74.8,31.25,91.04,7,113,25344
City Care Multispeciality Hospital - Fazilka,Fazilka,Hoshiarpur,Oncology,4.9,74.8,31.25,91.04,10,114,25481
Lifeline Hospital - Barnala,Barnala,Kapurthala,ENT,4.8,79.4,31.25,91.02,17,115,25618
Apex Healthcare - Muktsar,Muktsar,Barnala,Dermatology,4.9,74.7,31.25,91.01,9,116,25755
Shaheed Bhagat Singh Medical Centre - Nawanshahr,Nawanshahr,Ludhiana,Nephrology,4.9,74.7,31.25,91.01,5,117,25892
Healing Touch Healthcare - Mansa,Mansa,Abohar,Cardiology,4.9,74.6,31.25,90.98,14,118,26029
Healing Touch Hospital - Jalandhar,Jalandhar,Phagwara,Nephrology,4.9,74.6,31.25,90.98,6,119,26166
Shaheed Bhagat Singh Medical Centre - Bathinda,Bathinda,Barnala,Neurology,4.9,74.6,37.5,90.98,6,120,26303
City Care Medical Centre - Patiala,Patiala,Jalandhar,Urology,4.9,74.6,37.5,90.98,8,121,26440
Punjab Medical Centre - Malerkotla,Malerkotla,Gurdaspur,Dermatology,4.9,74.5,31.25,90.95,10,122,26577
